FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
2012-12-19,00:23:30,   6.826, -73.158, 147.0,  4.3,  4.2,SANTANDER,LOS_SANTOS,28, 0.40,67,  1.9,  2.4,  3.4,Revisado
2012-12-19,02:40:42,   6.817, -73.166, 141.5,  3.6,  3.7,SANTANDER,LOS_SANTOS,21, 0.60,67,  3.3,  3.8,  5.6,Revisado
2012-12-19,19:51:09,   6.813, -73.151, 152.1,  4.1,  4.1,SANTANDER,LOS_SANTOS,28, 0.60,125,  2.9,  4.5,  5.0,Revisado
2012-12-20,20:38:08,   6.810, -73.167, 148.0,  3.8,  3.9,SANTANDER,LOS_SANTOS,35, 0.60,70,  2.6,  3.3,  4.9,Revisado
2012-12-22,20:24:21,   6.833, -73.130, 150.6,  3.4,  3.5,SANTANDER,LOS_SANTOS,24, 0.60,71,  2.6,  3.5,  5.5,Revisado
2012-12-24,06:41:14,   6.835, -73.092, 149.9,  4.4,  4.3,SANTANDER,LOS_SANTOS,29, 0.50,72,  2.4,  3.4,  4.7,Revisado
2012-12-29,07:00:44,   6.894, -72.954, 186.5,  3.0,  3.3,SANTANDER,GUACA,15, 0.50,138,  3.5,  5.3,  6.3,Revisado
2012-12-30,10:21:06,   6.777, -73.136, 148.0,  3.0,  3.1,SANTANDER,LOS_SANTOS,13, 0.40,184,  2.9,  4.5,  5.0,Revisado
2012-12-31,02:17:45,   6.839, -73.105, 144.8,  3.6,  3.7,SANTANDER,LOS_SANTOS,17, 0.50,128,  2.8,  4.0,  5.4,Revisado
2013-01-01,02:48:44,   6.814, -73.153, 140.0,  3.1,  3.5,SANTANDER,LOS_SANTOS,22, 0.50,70,  3.3,  4.0,  6.2,Revisado
2013-01-01,04:20:03,   6.799, -73.107, 143.8,  3.2,  3.5,SANTANDER,LOS_SANTOS,13, 0.50,129,  3.1,  5.2,  5.8,Revisado
